"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ALLSTEEL INC","HNI Corp.","$10,000","$0","$10,000","2002","20020228","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"SAGUS INTERNATIONAL, INC.","HNI Corp.","$50,001","$0","$50,001","2009","20090720","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Texas","","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $50,001 to $100,000."
"THE GUNLOCKE COMPANY LLC.","HNI Corp.","$8,550","$0","$8,550","2005","20050331","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WAYLAND","ONE GUNLOCKE DRIVE","14572","337211","337211: Wood Office Furniture Manufacturing","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE GUNLOCKE COMPANY LLC.","HNI Corp.","$9,900","$0","$9,900","2005","20050331","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","WAYLAND","ONE GUNLOCKE DRIVE","14572","337211","337211: Wood Office Furniture Manufacturing","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE HON COMPANY","HNI Corp.","$12,500","$0","$12,500","2002","20020402","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","CHESTER","11200 OLD STAGE ROAD","23836","000000","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PAOLI INC","HNI Corp.","$5,050","$0","$5,050","2000","20000410","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","ORLEANS","201 E MARTIN ST","47452","000000","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Allsteel Inc.","HNI Corp.","$489,123","$0","$489,123","2015","20150807","employment-related offenses","employment discrimination","gender discrimination","The settlement amount includes $285,123 for legal fees.","federal","private litigation","","civil","","Southern District of Iowa","3:11-cv-0126","Dindinger et al v. Allsteel, Inc.","verdict","","","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","https://www.employmentlawblog.info/2017/04/dindinger-v-allsteel-inc-no-16-1305-8th-cir-apr-3-2017.shtml",""
"The HON Company","HNI Corp.","$8,000","$0","$8,000","2013","20130807","environment-related offenses","environmental violation","","Hazardous Waste Program","state","agency action","Alabama Department of Environmental Management","civil","","","13-122-CHW","","","Alabama","","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","http://adem.alabama.gov/compInfo/2013orders.pdf",""
"The Hon Company","HNI Corp.","$8,000","$0","$8,000","2001","20010418","environment-related offenses","environmental violation","","SID","state","agency action","Alabama Department of Environmental Management","civil","","","01-040-CWP   ","","","Alabama","","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","List of FY2001 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
"MONESSEN HEARTH SYSTEMS","HNI Corp.","$5,000","$0","$5,000","2013","20130625","environment-related offenses","environmental violation","","waste management violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -130076","","","Kentucky","","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"The Hon Company","HNI Corp.","$5,822","$0","$5,822","2008","20081219","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Louisburg","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","https://files.nc.gov/ncdeq/Waste%20Management/DWM/HW/Programs%20Branch/penalties/2008.pdf",""
"Hearth & Home Technologies, LLC","HNI Corp.","$45,000","$0","$45,000","2020","20200825","environment-related offenses","environmental violation","","","state","agency action","Vermont Attorney General","civil","","","","","","Vermont","","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","https://ago.vermont.gov/wp-content/uploads/2020/08/State-of-Vermont-ANR-v.-Hearth.pdf",""
"HON Company","HNI Corp.","$12,431","$0","$12,431","2021","20210604","environment-related offenses","environmental violation","","","state","agency action","Georgia Environmental Protection Division","civil","","","","","","Georgia","","","","","","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","https://enfo.gaepd.org/Details/72662",""
"ALLSTEEL INC.","HNI Corp.","$6,623","$0","$6,623","2012","20120911","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","MUSCATINE","3000 N HWY 61","52761","337211","337211: Wood Office Furniture Manufacturing","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HON OAK STREET PLANT","HNI Corp.","$7,641","$0","$7,641","2013","20130226","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","MUSCATINE","301 OAK STREET","52761","337214","337214: Office Furniture (except Wood) Manufacturing","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HEARTH & HOME TECHNOLOGIES, INCORPORATED","HNI Corp.","$7,735","$0","$7,735","2012","20120613","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HALIFAX","352 MOUNTAIN HOUSE ROAD","17032","333414","333414: Heating Equipment (except Warm Air Furnaces) Manufacturing","USA","Iowa","publicly traded","HNI","housewares and home furnishings","home furnishings; office equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
