"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"The Rooter Service","Chemed","$5,889","$0","$5,889","2002","20021230","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1253699","","","California","San Jose","","95139","238220","238220: Plumbing, Heating, and Air-Conditioning Contractors","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Roto-Rooter","Chemed","$10,586","$0","$10,586","2010","20100316","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1548059","","","Vermont","Williston","","05495","23822","23822: Plumbing, Heating, and Air-Conditioning Contractors","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Roto Rooter Services Co Inc","Chemed","$6,550","$0","$6,550","2011","20110405","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Connecticut","WINDSOR","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2011-pdf",""
"Roto Rooter Services Company","Chemed","$100,000","$0","$100,000","2015","20150710","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Minnesota","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.eeoc.gov/eeoc/newsroom/release/7-10-15.cfm","Description field shows type of discrimination that EEOC had alleged."
"Vitas Health Care Corporation","Chemed","$65,000","$0","$65,000","2012","20120606","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Florida","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","https://www.eeoc.gov/eeoc/newsroom/release/6-6-12c.cfm","Description field shows type of discrimination that EEOC had alleged."
"VITAS HEALTHCARE CORPORATION","Chemed","$10,001","$0","$10,001","2009","20091214","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Florida","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"VITAS HEALTHCARE CORPORATION","Chemed","$10,001","$0","$10,001","2007","20070904","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Florida","","","","","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Vitas Innovative Hospice Care","Chemed","$16,757","$0","$16,757","2004","20041211","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1387659","","","Texas","Houston","","77068","621610","621610: Home Health Care Services","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ROTO ROOTER SERVICES INC. DBA ROTO ROOTER PLUMBERS","Chemed","$48,000","$0","$48,000","2003","20030215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","CHERRY HILL","12 N.WOODSTOCK DR.","08003","238220","238220: Plumbing, Heating, and Air-Conditioning Contractors","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROTO ROOTER","Chemed","$19,135","$0","$19,135","2002","20020423","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","PACHECO","5830 PACHECO BLVD.","94588","000000","","USA","Ohio","publicly traded","CHE","healthcare services","hospice care; drain cleaning services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
