"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html",""
"Amerigroup Corporation","Anthem","$225,000,000","$0","$225,000,000","2008","20080814","government-contracting-related offenses","False Claims Act and related","fraud","Amerigroup agreed to pay $225 million to settle allegations that it systematically avoided enrolling pregnant women and unhealthy patients in the Medicaid managed care program it was paid to operate in Illinois.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2008/August/08-civ-723.html",""
"Amerigroup Corporation","Anthem","$30,754","$0","$30,754","2013","20130701","healthcare-related offenses","HHS civil monetary penalties","","After it disclosed conduct to the Office of Inspector General pursuant to its Corporate Integrity Agreement, Amerigroup Corporation agreed to pay $30,754.93 for allegedly violating the Civil Monetary Penalties Law by contracting with three individuals that it knew or should have known were excluded from participation in Federal health care programs and paid for prescriptions written by a fourth individual that it knew or should have known were excluded from participation in Federal health care programs.","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Virginia","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://oig.hhs.gov/fraud/enforcement/cmp/reportable-events.asp",""
"Anthem, Inc","Anthem","$329,761","$0","$329,761","2014","20141201","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1594361","","","Connecticut","North Haven","","06473","52411","52411: Direct Life, Health, and Medical Insurance Carriers","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Anthem Insurance Companies","Anthem","$1,500,000","$0","$1,500,000","2005","20050808","government-contracting-related offenses","False Claims Act and related","","Anthem Insurance Companies agreed to pay the United States $1.5 million to settle allegations that the company overcharged the Federal Employee Health Benefits Program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/August/05_civ_412.htm",""
"Anthem Blue Cross & Blue Shield of Connecticut, Inc.","Anthem","$20,000","$0","$20,000","2003","20030820","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","02-CA-34685-001","","","Connecticut","North Haven","","06473","623990","623990: Other Residential Care Facilities","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Anthem Insurance Company & BCBSMA & BCBSRI & BCBSVT","Anthem","$100,950","$0","$100,950","2014","20140424","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Freedom Health Inc.","Anthem","$31,695,593","$0","$31,695,593","2017","20170530","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/opa/pr/medicare-advantage-organization-and-former-chief-operating-officer-pay-325-million-settle",""
"HealthSun Health Plans, Inc.","Anthem","$50,000","$0","$50,000","2012","20121214","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"RightCHOICE Managed Care, Inc.","Anthem","$975,000","$0","$975,000","2007","20070131","government-contracting-related offenses","False Claims Act and related","","RightCHOICE Managed Care, Inc. agreed to pay the United States $975,000 to settle allegations that it violated the False Claims Act in connection with providing health care benefits to federal employees and their dependents in the state of Missouri. The settlement resolved allegations that RightCHOICE overcharged the Federal Employees Health Benefits (FEHB) Program, which is administered by the U.S. Office of Personnel Management.","federal","agency action","Justice Department Civil Division","civil","","","","","","Missouri","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2007/January/07_civ_062.html",""
"Wellpoint, Inc.","Anthem","$61,637","$0","$61,637","2010","20100507","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1560416","","","Indiana","Indianapolis","","46206","524114","524114: Direct Health and Medical Insurance Carriers","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
