"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Toray Industries Inc.","Toray Industries","$15,250,000","$0","$15,250,000","2008","20080523","competition-related offenses","price-fixing or anti-competitive practices","","Toray Industries Inc., a Japanese company, and its U.S. subsidiary, Toray Composites (America) Inc., agreed to pay the United States $15.25 million to settle a lawsuit alleging that they conspired to fix prices on carbon fiber, a graphite substance used in aircraft, ammunition and satellites procured by the United States.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals; advanced materials","https://www.justice.gov/archive/opa/pr/2008/May/08-enrd-463.html",""
"TORAY COMPOSITES AMERICA INC","Toray Industries","$6,500","$0","$6,500","2008","20080409","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","TACOMA","19002 50TH AVE E","98446","325991","325991: Custom Compounding of Purchased Resins","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ZOLTEK CORPORATION","Toray Industries","$9,450","$0","$9,450","2005","20050113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","ABILENE","1221 FULWILER ROAD","79604","335991","335991: Carbon and Graphite Product Manufacturing","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Toray Chemical Korea Inc. dba Woongjin Chemical","Toray Industries","$2,058,000","$0","$2,058,000","2014","20140709","competition-related offenses","theft of trade secrets","","","federal","agency action","U.S. Attorney-Eastern District of Virginia","criminal","deferred prosecution agreement","","","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals; advanced materials","https://www.justice.gov/usao-edva/pr/toray-chemical-korea-resolves-attempted-theft-trade-secrets-investigation-and-agrees",""
"Zoltek Companies, Inc.","Toray Industries","$7,772,102","$0","$7,772,102","2018","20181220","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals; advanced materials","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20181220_zoltek.pdf",""
"ZOLTEK","Toray Industries","$25,875","$0","$25,875","2017","20170815","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Missouri Department of Natural Resources","civil","","","","","","Missouri","","","","","","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"ZOLTEK CORPORATION","Toray Industries","$32,660","$0","$32,660","2012","20120127","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals; advanced materials","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2012.pdf",""
"ZOLTEK CORPORATION","Toray Industries","$21,590","$0","$21,590","2010","20100222","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals; advanced materials","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2010.pdf",""
"ZOLTEK COMPANIES, INC.","Toray Industries","$5,622","$0","$5,622","2011","20110124","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","ST. CHARLES","11 RESEARCH PARK DR.","63304","325222","325222: Noncellulosic Organic Fiber Manufacturing","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ZOLTEK INC.","Toray Industries","$16,500","$0","$16,500","2016","20160203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","SAINT PETERS","27 GUENTHER BLVD","63376","335991","335991: Carbon and Graphite Product Manufacturing","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TORAY COMPOSITES AMERICA INC","Toray Industries","$17,600","$0","$17,600","2018","20181031","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","TACOMA","19002 50TH AVE E","98446","325991","325991: Custom Compounding of Purchased Resins","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TORAY COMPOSITES AMERICA INC","Toray Industries","$23,100","$0","$23,100","2019","20191107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","TACOMA","19002 50TH AVE E","98446","325991","325991: Custom Compounding of Purchased Resins","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Toray International America, Inc.","Toray Industries","$34,900","$0","$34,900","2009","20090327","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2009-9226","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Toray Plastics America Inc.","Toray Industries","$154,000","$0","$154,000","2006","20060929","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2006-0262","","","Virginia","FRONT ROYAL","500 TORAY DR.","22630","326150","326150: Urethane and Other Foam Product (except Polystyrene) Manufacturing","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Toray Marketing & Sales (America), Inc.","Toray Industries","$61,504","$0","$61,504","2007","20070615","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2007-5012","","","New York","NEW YORK","461 FIFTH AVENUE","10017","","","Japan","","publicly traded","","chemicals","chemicals; advanced materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
