"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"METALSA  ROANOKE","Proeza","$10,000","$0","$10,000","2005","20051020","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","ROANOKE","184 VISTA DRIVE","24019","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA LIGHT VEHICLE USA","Proeza","$5,000","$0","$5,000","2014","20140905","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -140042","","","Kentucky","","","","","","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"METALSA STRUCTURAL PRODUCTS, INC.","Proeza","$5,800","$0","$5,800","2010","20100315","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","750 N BLACKBRANCH RD","42701","336211","336211: Motor Vehicle Body Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS, INC.","Proeza","$7,000","$0","$7,000","2012","20120501","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","HOPKINSVILLE","301 BILL BRYAN BLVD","42240","336111","336111: Automobile Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS, INC.","Proeza","$13,125","$0","$13,125","2012","20120501","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","HOPKINSVILLE","301 BILL BRYAN BLVD.","42240","336111","336111: Automobile Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS","Proeza","$11,300","$0","$11,300","2013","20131217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","750 NORTH BLACK BRANCH ROAD","42701","423120","423120: Motor Vehicle Supplies and New Parts Merchant Wholesalers","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS INC","Proeza","$7,000","$0","$7,000","2014","20140709","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","BLACK BRANCH ROAD","42701","423120","423120: Motor Vehicle Supplies and New Parts Merchant Wholesalers","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS, INC.","Proeza","$7,000","$0","$7,000","2015","20150318","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","750 BLACKBRANCH RD","42701","336370","336370: Motor Vehicle Metal Stamping","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS, INC.","Proeza","$35,000","$0","$35,000","2015","20150605","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","ELIZABETHTOWN","750 BLACKBRANCH RD","42701","336370","336370: Motor Vehicle Metal Stamping","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS INC","Proeza","$7,000","$0","$7,000","2015","20151214","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","HOPKINSVILLE","301 BILL BRYAN BLVD","42240","336111","336111: Automobile Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS INC","Proeza","$77,000","$0","$77,000","2016","20161130","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","HOPKINSVILLE","301 BILL BYRAN BLVD","42240","336111","336111: Automobile Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA ROANOKE INC.","Proeza","$17,582","$0","$17,582","2019","20190730","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","ROANOKE","184 VISTA DR.","24019","336390","336390: Other Motor Vehicle Parts Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA ROANOKE INC.","Proeza","$15,120","$0","$15,120","2020","20200224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","ROANOKE","184 VISTA DR.","24019","336390","336390: Other Motor Vehicle Parts Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA STRUCTURAL PRODUCTS INC","Proeza","$161,000","$0","$161,000","2020","20200618","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","HOPKINSVILLE","301 BILL BRYAN BLVD","42240","336120","336120: Heavy Duty Truck Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA ROANOKE INC","Proeza","$23,487","$0","$23,487","2020","20200622","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","HOLLINS","184 VISTA DR","24019","336370","336370: Motor Vehicle Metal Stamping","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"METALSA ROANOKE INC.","Proeza","$6,041","$0","$6,041","2020","20201020","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","ROANOKE","184 VISTA DR.","24019","336211","336211: Motor Vehicle Body Manufacturing","Mexico","","privately held","","automotive parts","automotive parts; food products; medical services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
