"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Accredo Health Group","Cigna","$60,000,000","$0","$60,000,000","2015","20150501","competition-related offenses","kickbacks and bribery","fraud","The United States Attorney for the Southern District of New York and the U.S. Department of Health and Human Services announced a $60 million settlement of a civil fraud lawsuit against Accredo Health Group concerning an alleged kickback scheme with Novartis Pharmaceuticals.","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-60-million-civil-fraud-settlement-accredo-health-group",""
"Bravo Health Pennsylvania, Inc.","Cigna","$225,000","$0","$225,000","2013","20130726","healthcare-related offenses","HHS civil monetary penalties","","Bravo Health Pennsylvania, Inc. agreed to pay $225,000 for allegedly violating the Civil Monetary Penalties Law by providing medical records to the OIG's Office of Audit Services in connection with an OAS audit that were intentionally altered prior to their submission or resubmission.","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Pennsylvania","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"Cigna - Columbus Claim","Cigna","$566,688","$0","$566,688","2004","20040131","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1342988","","","Connecticut","Bloomfield","","06002","524114","524114: Direct Health and Medical Insurance Carriers","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Express Scripts","Cigna","$18,000","$0","$18,000","2010","20100922","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-30171-001","","","Missouri","St. Louis","","63121","424210","424210: Drugs and Druggists' Sundries Merchant Wholesalers","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Express Scripts, Inc","Cigna","$7,236","$0","$7,236","2008","20080417","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1501295","","","Colorado","Pueblo","","81003","446110","446110: Pharmacies and Drug Stores","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Express Scripts, Inc.","Cigna","$2,750,000","$0","$2,750,000","2012","20120517","healthcare-related offenses","Controlled Substances Act violation","","Express Scripts, Inc. and Express Scripts Pharmacy Services, Inc. agreed to pay $ 2.75 million to settle the case against the companies. DEA Philadelphia Diversion Group 1 inspected company locations in Pennsylvania and discovered numerous instances of drug diversion and regulatory violations.","federal","agency action","Drug Enforcement Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","DEA Investigation of Express Scripts Drug Diversion, Regulatory Violations Leads to $2.75 Million Settlement, Targeted News Service, May 17, 2012 (via Nexis).",""
"Express Scripts, Inc.","Cigna","$9,500","$0","$9,500","2011","20110112","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-37589-001","","","Pennsylvania","Trevose","","19053","325412","325412: Pharmaceutical Preparation Manufacturing","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Express Scripts d/b/a ValueRx","Cigna","$18,500","$0","$18,500","2000","20001026","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-16170-001","","","New Mexico","Albuquerque","","87107","446110","446110: Pharmacies and Drug Stores","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Express Scripts Medicare","Cigna","$334,300","$0","$334,300","2014","20140612","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Express Scripts Medicare","Cigna","$5,325","$0","$5,325","2016","20160908","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Medco Health Solutions","Cigna","$155,000,000","$0","$155,000,000","2006","20061023","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Medco Health Solutions agreed to pay the United States $155 million plus interest to settle allegations that the Parsippany, N.J.-based company submitted false claims to the government, solicited and accepted kickbacks from pharmaceutical manufacturers to favor their drugs, and paid kickbacks to health plans to obtain business. ","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2006/October/06_civ_722.html",""
"Medco Health Solutions Inc.","Cigna","$7,900,000","$0","$7,900,000","2015","20150520","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Medco Health Solutions Inc., a wholly-owned subsidiary of the pharmacy benefit manager Express Scripts Holding Company, agreed to pay $7.9 million to settle allegations that it engaged in a kickback scheme in violation of the False Claims Act.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.justice.gov/opa/pr/medco-pay-79-million-resolve-kickback-allegations",""
"MEDCO HEALTH SOLUTIONS OF COLUMBUS WEST, LTD","Cigna","$31,562","$0","$31,562","2009","20090303","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-44001-001","","","Ohio","Columbus","","43228","424210","424210: Drugs and Druggists' Sundries Merchant Wholesalers","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Medco Health Solutions of Las Vegas, Inc.","Cigna","$2,204,000","$0","$2,204,000","2006","20060531","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-20516-001","","","Nevada","Las Vegas","","89120","446110","446110: Pharmacies and Drug Stores","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Medco Health Solutions of Las Vegas, Inc.","Cigna","$27,742","$0","$27,742","2007","20070727","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-21281-001","","","Nevada","Las Vegas","","89120","446110","446110: Pharmacies and Drug Stores","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Merck Medco","Cigna","$12,000","$0","$12,000","2003","20030814","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-22619-001","","","Texas","Fort Worth","","76155","446110","446110: Pharmacies and Drug Stores","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Merck-Medco Rx Services","Cigna","$9,000","$0","$9,000","2002","20020319","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-21066-001","","","Texas","Fort Worth","","76155","424210","424210: Drugs and Druggists' Sundries Merchant Wholesalers","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"PRIORITY HEALTHCARE","Cigna","$10,000","$0","$10,000","2009","20090619","safety-related offenses","motor vehicle safety violation","","OH-2009-0092-US0870","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Florida","LAKE MARY","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2009_04-26-2013.pdf","Year is fiscal year. Date is closing date."
"Sterling Life Insurance Company","Cigna","$75,000","$0","$75,000","2012","20121214","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Specialty Distribution Services Inc.","Cigna","$10,500,000","$0","$10,500,000","2007","20070911","healthcare-related offenses","off-label or unapproved promotion of medical products","","","federal","agency action","U.S. Attorney-District of Massachusetts","criminal","non-prosecution agreement","","","","","","","","","","","USA","Connecticut","publicly traded","CI","healthcare services","insurance; managed care","https://www.nytimes.com/2007/09/19/sports/othersports/19doping.html",""
