"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Graco Children's Products Inc.","Newell Brands","$4,000,000","$0","$4,000,000","2005","20050322","safety-related offenses","product safety violation","","CPSC imposed a $4 million penalty against Graco Children's Products Inc., of Exton, Pa., for failing to inform the government in a timely manner about more than 12 million products that posed a danger to young children nationwide.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://www.cpsc.gov/Newsroom/News-Releases/2005/Record-Civil-Penalty-Levied-Against-Graco-Childrens-Products-Inc-CPSC-Graco-announce-new-recall-of-12-million-toddler-beds",""
"Graco Children's Products, Inc.","Newell Brands","$3,000,000","$0","$3,000,000","2015","20150319","safety-related offenses","motor vehicle safety violation","","Untimely recall in 2014. 49 USC 30118(c)(1) and 30119(c)(2), 49 CFR 573.6(b).","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://web.archive.org/web/20150511145448/http://www.nhtsa.gov/About+NHTSA/Press+Releases/2015/Car-seat-maker-Graco-fined-$10-million",""
"Newell-Rubbermaid","Newell Brands","$683,606","$0","$683,606","2002","20021031","employment-related offenses","employment discrimination","disability discrimination","","federal","private litigation","","civil","","District of Kansas","6:00-cv-1378","Praseuth v. Newell-Rubbermaid, et al","verdict","","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://caselaw.findlaw.com/us-10th-circuit/1278789.html",""
"NEWELL OPERATING COMPANY","Newell Brands","$8,580","$0","$8,580","2006","20060222","safety-related offenses","motor vehicle safety violation","","NY-2005-0418-US0786","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","New York","MEDINA","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
"Newell Rubbermaid, Inc.","Newell Brands","$15,000","$0","$15,000","2004","20040827","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1326221","","","Illinois","Freeport","","61032","442291","442291: Window Treatment Stores","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Rubbermaid, Inc.","Newell Brands","$150,000","$0","$150,000","2000","20000417","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-28118-001","","","Ohio","Wooster","","44691","326299","326299: All Other Rubber Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Sunbeam Products, Inc. d/b/a Jarden Consumer Solutions","Newell Brands","$4,500,000","$0","$4,500,000","2016","20160607","safety-related offenses","product safety violation","","Sunbeam Products, Inc. d/b/a Jarden Consumer Solutions agreed to pay a $4.5 million civil penalty to settle allegations that the firm knowingly failed to report to CPSC immediately, as required by federal law, that its Mr. Coffee Single Cup Brewing System BVMC-KG1 series coffeemakers were defective and posed an unreasonable risk of serious injury or death to consumers.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","http://www.cpsc.gov/en/Newsroom/News-Releases/2016/Jarden-Consumer-Solutions-Agrees-to-Pay-45-Million-Civil-Penalty-for-Failure-to-Report-Defective-Single-Cup-Coffeemakers/",""
"HEARTHMARK, L.L.C. DBA JARDEN HOME BRANDS","Newell Brands","$125,500","$0","$125,500","2009","20090722","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","BIRMINGHAM","603 TIN MILL ROAD","35224","321999","321999: All Other Miscellaneous Wood Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"YANKEE CANDLE COMPANY","Newell Brands","$7,000","$0","$7,000","2010","20100819","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","SOUTH DEERFIELD","27 YANKEE CANDLE WAY","01373","339999","339999: All Other Miscellaneous Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"YANKEE CANDLE COMPANY","Newell Brands","$6,300","$0","$6,300","2010","20100903","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","SOUTH DEERFIELD","25 GREENFIELD ROAD","01373","339999","339999: All Other Miscellaneous Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"JARDEN HOME BRANDS","Newell Brands","$108,500","$0","$108,500","2010","20100127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","GREENVILLE","7000 INDUSTRIAL BOULEVARD","75402","321999","321999: All Other Miscellaneous Wood Product Manufacturing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"JARDEN CONSUMER SOLUTIONS","Newell Brands","$6,300","$0","$6,300","2006","20060314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","NEOSHO","303 NELSEN AVENUE","64850","423620","423620: Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE UNITED STATES PLAYING CARD COMPANY","Newell Brands","$5,000","$0","$5,000","2003","20030414","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","NORWOOD","4590 BEECH ST.","45212","323119","323119: Other Commercial Printing","USA","Georgia","publicly traded","NWL","housewares and home furnishings","housewares; home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
