"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Comcast","Comcast","$2,300,000","$0","$2,300,000","2016","20161011","consumer-protection-related offenses","telecommunications violation","","The FCC's Enforcement Bureau announced that Comcast Corporation would pay a $2.3 million fine to resolve an investigation into whether the company wrongfully charged cable TV customers for services and equipment that those customers never authorized.","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://apps.fcc.gov/edocs_public/attachmatch/DOC-341621A1.pdf",""
"Comcast","Comcast","$800,000","$0","$800,000","2012","20120627","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://apps.fcc.gov/edocs_public/attachmatch/DOC-314879A1.pdf",""
"Comcast","Comcast","$13,666","$0","$13,666","2014","20140705","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1726031","","","Illinois","Woodridge","","60517","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Comcast Corp.","Comcast","$900,000","$0","$900,000","2009","20090416","consumer-protection-related offenses","privacy violation","","Comcast agreed to pay $900,000 to settle allegations that it violated the Do Not Call provisions of the Telemarketing Sales Rule by having telemarketers call consumers who specifically asked not to be called.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.ftc.gov/news-events/press-releases/2009/04/directv-comcast-pay-total-321-million-entity-specific-do-not-call",""
"Comcast Corporation","Comcast","$186,999","$0","$186,999","2015","20150430","employment-related offenses","employment discrimination",""," Comcast Corporation entered into a conciliation agreement with the Office of Federal Contract Compliance Programs to resolve allegations of sex and race discrimination at its operation in Everett, Washington.","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Washington","Everett","","","","","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","https://www.dol.gov/newsroom/releases/ofccp/ofccp20150844",""
"Comcast Corporation","Comcast","$5,000","$0","$5,000","2004","20041212","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1382188","","","Minnesota","Saint Paul","","55107","51521","51521: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Global Spectrum L.P.","Comcast","$34,704","$0","$34,704","2010","20100611","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1559242","","","Tennessee","Memphis","","38103","71311","71311: Amusement and Theme Parks","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Comcast Cable","Comcast","$354,000","$0","$354,000","2009","20090930","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-36634-001","","","Pennsylvania","Pittsburgh","","15220","517210","517210: Wireless Telecommunications Carriers (except Satellite)","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"COMCAST CABLE","Comcast","$22,500","$0","$22,500","2006","20060831","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","34-CA-11488-001","","","Connecticut","Berlin","","06037","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"COMCAST CABLE","Comcast","$20,000","$0","$20,000","2005","20050728","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-29560-001","","","Indiana","INDIANAPOLIS","","46220","561990","561990: All Other Support Services","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Comcast Cable Communications","Comcast","$25,840","$0","$25,840","2005","20050616","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-34372-001","","","Pennsylvania","Beaver Falls","","15010","515210","515210: Cable and Other Subscription Programming","USA","Pennsylvania","publicly traded","CMCSA","telecommunications","telecommunications; media","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
