"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Aveta Inc.","UnitedHealth Group","$75,000","$0","$75,000","2012","20121214","healthcare-related offenses","Medicare Parts C and D Enforcement Action","","improper contract administration","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://web.archive.org/web/20161221135644/https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PartCandPartDEnforcementActions-.html",""
"Evercare Hospice and Palliative Care","UnitedHealth Group","$18,000,000","$0","$18,000,000","2016","20160713","government-contracting-related offenses","False Claims Act and related","","The Justice Department announced that Evercare Hospice and Palliative Care would pay $18 million to resolve False Claims Act allegations that it claimed Medicare reimbursement for hospice care for patients who were not eligible for such care because they were not terminally ill.  Evercare, now known as Optum Palliative and Hospice Care, is a Minnesota-based provider of hospice care in Arizona, Colorado and other states across the United States.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.justice.gov/opa/pr/minnesota-based-hospice-provider-pay-18-million-alleged-false-claims-medicare-patients-who",""
"Hospice INSPIRIS, LLC","UnitedHealth Group","$19,456","$0","$19,456","2005","20050529","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1407067","","","Arizona","Phoenix","","85004","621610","621610: Home Health Care Services","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Inspiris, LLC","UnitedHealth Group","$40,223","$0","$40,223","2010","20101107","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1558348","","","Arizona","Phoenix","","85004","624120","624120: Services for the Elderly and Persons with Disabilities","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Logistics Health Incorporated","UnitedHealth Group","$77,057","$0","$77,057","2008","20080505","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1517475","","","Wisconsin","La Crosse","","54601","621999","621999: All Other Miscellaneous Ambulatory Health Care Services","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Logistics Health Incorporated","UnitedHealth Group","$15,591","$0","$15,591","2008","20080511","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1489247","","","Wisconsin","La Crosse","","54601","621999","621999: All Other Miscellaneous Ambulatory Health Care Services","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Loyola Ambulatory Surgery Center at Oakbrook","UnitedHealth Group","$7,929","$0","$7,929","2012","20120319","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1646990","","","Illinois","Villa Park","","60181","62111","62111: Offices of Physicians","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Medsynergies, Incorporated","UnitedHealth Group","$65,959","$0","$65,959","2013","20130414","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1690754","","","Texas","Irving","","75038","624190","624190: Other Individual and Family Services","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Oxford Health Plans, Inc.","UnitedHealth Group","$250,000","$0","$250,000","2002","20020725","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.sec.gov/litigation/litreleases/lr17631.htm",""
"Oxford Health Plans, Inc.","UnitedHealth Group","$37,713","$0","$37,713","2004","20041016","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1360103","","","New Hampshire","Hooksett","","03106","52411","52411: Direct Life, Health, and Medical Insurance Carriers","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"PacifiCare Health Systems","UnitedHealth Group","$87,300,000","$0","$87,300,000","2002","20020412","government-contracting-related offenses","False Claims Act and related","","PacifiCare Health Systems agreed to pay the United States $87.3 million to settle allegations that it and its predecessor companies violated the False Claims Act with respect to claims submitted to the Office of Personnel Management.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2002/April/02_civ_217.htm",""
"United HealthCare of Florida, Inc.","UnitedHealth Group","$1,800,000","$0","$1,800,000","2007","20071001","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Florida","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.eeoc.gov/eeoc/newsroom/release/archive/10-1-07.html","Description field shows type of discrimination that EEOC had alleged."
"United Health Care Services, Inc.","UnitedHealth Group","$40,641","$0","$40,641","2005","20050122","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1371976","","","New Mexico","Albuquerque","","87109","5251","5251: Insurance and Employee Benefit Funds","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"United Health Group","UnitedHealth Group","$20,472","$0","$20,472","2007","20070714","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1482508","","","Arizona","Phoenix","","85013","623312","623312: Homes for the Elderly","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"United Healthcare Insurance Company","UnitedHealth Group","$3,500,000","$0","$3,500,000","2004","20041213","government-contracting-related offenses","False Claims Act and related","","United Healthcare Insurance Company agreed to pay the United States $3.5 million to settle allegations that the company defrauded the Medicare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2004/December/04_civ_788.htm",""
"United HealthCare Services, Inc.","UnitedHealth Group","$1,038,831","$0","$1,038,831","2009","20091010","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1501905","","","Connecticut","Hartford","","06103","524114","524114: Direct Health and Medical Insurance Carriers","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"United HealthCare Services, Inc.","UnitedHealth Group","$20,818","$0","$20,818","2011","20110221","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1607104","","","New York","Tonawanda","","14150","52411","52411: Direct Life, Health, and Medical Insurance Carriers","USA","Minnesota","publicly traded","UNH","healthcare services","insurance; managed care","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
